country,exports,imports,income,gdpp
Afghanistan,10,44.9,1610,553
Albania,28,48.6,9930,4090
Algeria,38.4,31.4,12900,4460
Angola,62.3,42.9,5900,3530
Antigua and Barbuda,45.5,58.9,19100,12200
Argentina,18.9,16,18700,10300
Armenia,20.8,45.3,6700,3220
Australia,19.8,20.9,41400,51900
Austria,51.3,47.8,43200,46900
Azerbaijan,54.3,20.7,16000,5840
Bahamas,35,43.7,22900,28000
Bahrain,69.5,50.9,41100,20700
Bangladesh,16,21.8,2440,758
Barbados,39.5,48.7,15300,16000
Belarus,51.4,64.5,16200,6030
Belgium,76.4,74.7,41100,44400
Belize,58.2,57.5,7880,4340
Benin,23.8,37.2,1820,758
Bhutan,42.5,70.7,6420,2180
Bolivia,41.2,34.3,5410,1980
Bosnia and Herzegovina,29.7,51.3,9720,4610
Botswana,43.6,51.3,13300,6350
Brazil,10.7,11.8,14500,11200
Brunei,67.4,28,80600,35300
Bulgaria,50.2,53,15300,6840
Burkina Faso,19.2,29.6,1430,575
Burundi,8.92,39.2,764,231
Cambodia,54.1,59.5,2520,786
Cameroon,22.2,27,2660,1310
Canada,29.1,31,40700,47400
Cape Verde,32.7,61.8,5830,3310
Central African Republic,11.8,26.5,888,446
Chad,36.8,43.5,1930,897
Chile,37.7,31.3,19400,12900
China,26.3,22.6,9530,4560
Colombia,15.9,17.8,10900,6250
Comoros,16.5,51.7,1410,769
"Congo, Dem. Rep.",41.1,49.6,609,334
"Congo, Rep.",85.1,54.7,5190,2740
Costa Rica,33.2,35,13000,8200
Cote d'Ivoire,50.6,43.3,2690,1220
Croatia,37.6,38.1,20100,13500
Cyprus,50.2,57.5,33900,30800
Czech Republic,66,62.9,28300,19800
Denmark,50.5,43.6,44000,58000
Dominican Republic,22.7,33.3,11100,5450
Ecuador,27.9,32.4,9350,4660
Egypt,21.3,26.6,9860,2600
El Salvador,26.9,46.6,7300,2990
Equatorial Guinea,85.8,58.9,33700,17100
Eritrea,4.79,23.3,1420,482
Estonia,75.1,68.7,22700,14600
Fiji,57.8,63.9,7350,3650
Finland,38.7,37.4,39800,46200
France,26.8,28.1,36900,40600
Gabon,57.7,18.9,15400,8750
Gambia,23.8,42.7,1660,562
Georgia,35,52.8,6730,2960
Germany,42.3,37.1,40400,41800
Ghana,29.5,45.9,3060,1310
Greece,22.1,30.7,28700,26900
